Name, M, WS, BS, T, S, W, A, Ld, Sv, Sp, Points
Grey Knight, 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 19
Grey Knight (Special Weapon), 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 19
Justicar, 6, 3, 3, 4, 4, 1, 2, 8, 3, 7, 19
Interceptor, 12, 3, 3, 4, 4, 1, 1, 7, 3, 7, 23
Interceptor (Special Weapon), 12, 3, 3, 4, 4, 1, 1, 7, 3, 7, 23
Interceptor Justicar, 12, 3, 3, 4, 4, 1, 2, 8, 3, 7, 23
Purgator, 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 19
Purgator (Special Weapon), 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 19
Purgator Justicar, 6, 3, 3, 4, 4, 1, 2, 8, 3, 7, 19
Purifier, 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 26
Purifier (Special Weapon), 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 26
Knight of the Flame, 6, 3, 3, 4, 4, 1, 2, 8, 3, 7, 26
Grey Knight Terminator, 5, 3, 3, 4, 4, 2, 2, 7, 2, 5, 44
Terminator Justicar, 5, 3, 3, 4, 4, 2, 3, 8, 2, 5, 44
Paladin, 5, 3, 3, 4, 4, 3, 3, 7, 2, 5, 53
Paragon, 5, 2, 3, 4, 4, 3, 3, 7, 2, 5, 53
Nemesis Dreadknight, 8, 3, 3, 6, 6, 12, 4, 8, 2, 5, 130
Dreadnought, 6, 3, 3, 6, 7, 8, 4, 8, 3, 7, 70
Grey Knight Dreadnought, 6, 3, 3, 6, 7, 8, 4, 8, 3, 7, 87
Grey Knight Venerable Dreadnought, 6, 2, 2, 6, 7, 8, 4, 8, 3, 7, 110
Grand Master, 5, 2, 2, 4, 4, 6, 5, 9, 2, 4, 160
Paladin Ancient, 5, 2, 3, 4, 4, 5, 4, 8, 2, 5, 140
Brotherhood Champion (Sword Strike), 6, 2, 2, 4, 4, 4, 4, 8, 2, 4, 115
Brotherhood Champion (Blade Shield), 6, 2, 2, 4, 4, 4, 4, 8, 1, 3, 115
Brother-Captain, 5, 2, 2, 4, 4, 6, 4, 9, 2, 4, 150
Librarian in Terminator Armour, 5, 3, 3, 4, 4, 5, 3, 9, 2, 5, 145
Castellan Crowe, 6, 2, 2, 4, 4, 5, 5, 8, 2, 4, 125
Lord Kaldor Draigo, 5, 2, 2, 4, 4, 7, 5, 9, 2, 3, 240
Rhino, 12, 6, 3, 6, 7, 10, 3, 8, 3, 7, 70
Razorback, 12, 6, 3, 6, 7, 10, 3, 8, 3, 7, 65
Genestealer, 8, 3, 7, 4, 4, 1, 3, 9, 5, 5, 10
Space Marine, 6, 3, 3, 4, 4, 1, 1, 7, 3, 7, 13
Space Marine Sergeant, 6, 3, 3, 4, 4, 1, 2, 8, 3, 7, 13
Terminator, 5, 3, 3, 4, 4, 2, 2, 8, 2, 5 , 26
Terminator Sergeant, 5, 3, 3, 4, 4, 2, 3, 9, 2, 5, 26
Roboute Guilliman, 8, 2, 2, 6, 6, 9, 6, 10, 2, 3, 360
